id,time_stamp,reg_number,alt,dir,speed,lat,lng,dep_iata,flight_icao,status
1,07/26/2025 19:22:27,A6-BLH,9689,230.5,801,42.774938,-76.432534,AUH,ETD5,en-route
2,07/26/2025 19:22:27,N87531,2532,294.1,527,13.19255,-59.510517,BGI,UAL391,en-route
3,07/26/2025 19:22:27,G-ZBJH,12212,255.4,846,44.326045,-61.81003,LHR,BAW291,en-route
4,07/26/2025 19:22:27,N37556,10078,82,912,38.424058,-118.057413,SFO,UAL1355,en-route
5,07/26/2025 19:22:27,N686TA,10688,18.5,848,22.952154,-86.53008,SAL,AVA584,en-route
6,07/26/2025 19:22:27,N647UA,9918,271,855,36.93754,-73.523985,DSS,UAL460,en-route
7,07/26/2025 19:22:27,N20904,12212,226.7,861,42.580333,-74.608279,ATH,UAL983,en-route
8,07/26/2025 19:22:27,N730YX,3880,192,571,39.984616,-77.679224,YYZ,UAL3637,en-route
9,07/26/2025 19:22:27,N89317,619,179.9,350,39.061115,-77.434212,SAV,UAL6187,en-route
10,07/26/2025 19:22:27,EI-LRA,6748,221.9,622,40.382474,-75.951655,DUB,EIN117,en-route
11,07/26/2025 19:22:27,N17104,239,182,266,38.981733,-77.435545,DUB,UAL229,en-route
12,07/26/2025 19:22:27,N14168,7640,127.7,799,40.015298,-80.780832,CLE,UAL4288,en-route
13,07/26/2025 19:22:27,N750YX,8859,100,922,39.651526,-80.600501,IND,UAL3530,en-route
14,07/26/2025 19:22:27,N11193,6580,115.5,710,39.645799,-79.77217,PIT,UAL4860,en-route
15,07/26/2025 19:22:27,N77006,7556,104.5,872,39.457069,-79.309053,HND,UAL804,en-route
16,07/26/2025 19:22:27,N87303,6314,126.7,812,39.448657,-78.790979,DTW,UAL6190,en-route
17,07/26/2025 19:22:27,N86311,10047,75,892,38.302098,-80.400703,DFW,UAL6083,en-route
18,07/26/2025 19:22:27,N548GJ,3004,53.7,567,38.798799,-78.281436,STL,UAL4454,en-route
19,07/26/2025 19:22:27,N37522,8066,24.6,802,37.171189,-78.090513,MIA,UAL2435,en-route
20,07/26/2025 19:22:27,N14158,7640,44,872,35.786347,-80.248176,GSP,UAL4959,en-route
21,07/26/2025 19:22:27,N68880,10688,102,938,42.542614,-83.765677,SEA,UAL1873,en-route
22,07/26/2025 19:22:27,N875UA,10688,115,921,42.505312,-82.368524,BZN,UAL451,en-route
23,07/26/2025 19:22:27,N89315,10078,59,831,39.730728,-83.475129,SDF,UAL6026,en-route
24,07/26/2025 19:22:27,N85356,10688,126.5,857,41.701894,-82.800844,MSP,UAL6095,en-route
25,07/26/2025 19:22:27,N85351,9468,97,890,39.7477,-81.90493,MCI,UAL6115,en-route
26,07/26/2025 19:22:27,N37413,10078,116.5,912,41.586481,-81.767857,ORD,UAL1140,en-route
27,07/26/2025 19:22:27,N33209,10688,84,887,37.766271,-82.677867,IAH,UAL2733,en-route
28,07/26/2025 19:22:27,N11150,5727,107,616,34.382704,-86.041587,HSV,UAL4340,en-route
29,07/26/2025 19:22:27,N37560,10688,12.5,871,34.096296,-96.875521,AUS,UAL2344,en-route
30,07/26/2025 19:22:27,N8629A,10688,70,909,35.313544,-102.12542,PHX,SWA1961,en-route
31,07/26/2025 19:22:27,N66825,7098,73.4,771,41.076411,-111.296676,SLC,UAL215,en-route
32,07/26/2025 19:22:27,N270AK,10078,77,896,34.286876,-113.092211,SAN,ASA322,en-route
33,07/26/2025 19:22:27,N37549,8462,254,777,42.067724,-72.577317,BOS,UAL539,en-route
34,07/26/2025 19:22:27,N656UA,8066,236.5,807,38.939014,-74.544919,LIS,UAL943,en-route
35,07/26/2025 19:22:27,HB-JHB,12890,231.8,817,40.440544,-72.412476,ZRH,SWR72,en-route
36,07/26/2025 19:22:27,N741YX,9682,303.9,752,42.200906,-75.654405,PWM,RPA3624,en-route
37,07/26/2025 19:22:27,N530CN,3804,165.5,731,39.743853,-77.650821,PBG,VTE3901,en-route
38,07/26/2025 19:22:27,N745YX,8531,187.1,839,41.307355,-77.578135,YUL,RPA3414,en-route
39,07/26/2025 19:22:27,N12175,2555,156.6,528,39.417143,-77.49777,MDT,UCA4268,en-route
40,07/26/2025 19:22:27,N642UA,2212,278.1,480,39.470407,-77.435852,VCE,UAL322,en-route
41,07/26/2025 19:22:27,N2645U,4810,203.3,593,39.983521,-76.082599,FRA,UAL988,en-route
42,07/26/2025 19:22:27,N11164,3111,259.4,509,39.973272,-75.262324,PHL,UCA4852,en-route
43,07/26/2025 19:22:27,N11176,8424,246.9,665,40.773812,-75.149651,MHT,UCA4925,en-route
44,07/26/2025 19:22:27,N89357,3210,51.3,559,38.24502,-77.445233,JAX,ASH6198,en-route
45,07/26/2025 19:22:27,N77066,0,8.4,0,38.945009,-77.444397,ZRH,UAL53,landed
46,07/26/2025 19:22:27,N508GJ,1793,229.1,499,37.507768,-77.440413,YOW,GJS4441,en-route
47,07/26/2025 19:22:27,N37553,86,181.6,45,38.934414,-77.437042,CUN,UAL1694,landed
48,07/26/2025 19:22:27,N959AV,1945,10.9,520,38.583835,-77.365126,SAL,TAI582,en-route
49,07/26/2025 19:22:27,N68843,4536,71.7,677,38.666551,-78.6497,DEN,UAL2087,en-route
50,07/26/2025 19:22:27,N736YX,10672,27.5,868,36.241707,-78.602864,NAS,RPA3463,en-route
51,07/26/2025 19:22:27,N27509,8813,24.2,916,36.852032,-78.26297,MCO,UAL2065,en-route
52,07/26/2025 19:22:27,N754YX,7502,13.7,808,36.520775,-78.14637,MYR,RPA3706,en-route
53,07/26/2025 19:22:27,N12142,8554,42.2,893,37.371115,-78.071596,MOB,UCA4951,en-route
54,07/26/2025 19:22:27,N89313,0,225,0,35.873725,-78.799877,RDU,UAL6262,scheduled
55,07/26/2025 19:22:27,N503GJ,9438,121.6,804,38.387786,-81.853124,CVG,GJS4435,en-route
56,07/26/2025 19:22:27,N17753,11754,50.1,869,35.160081,-81.290928,ATL,UAL1831,en-route
57,07/26/2025 19:22:27,N932AK,10733,92.8,867,39.787163,-84.838969,LAX,ASA214,en-route
58,07/26/2025 19:22:27,N29984,12653,85.7,916,38.090929,-85.752344,SFO,UAL1849,en-route
59,07/26/2025 19:22:27,N642RW,11381,43.2,870,33.493565,-84.819376,MSY,RPA3693,en-route
60,07/26/2025 19:22:27,N53442,11373,63.3,887,39.714829,-88.713323,DEN,UAL405,en-route
61,07/26/2025 19:22:27,N971JS,15031,93.3,902,40.599904,-91.132277,SJC,KOW971,en-route
62,07/26/2025 19:22:27,N81449,10665,75.7,923,35.793062,-107.489984,LAX,UAL2667,en-route
63,07/26/2025 19:22:27,F-GSQL,10992,272,803,43.154561,-65.658855,CDG,AFR50,en-route
64,07/26/2025 19:22:27,D-ABYN,10992,209,974,49.438702,-67.974749,FRA,DLH418,en-route
65,07/26/2025 19:22:27,G-VGEM,3088,231,538,39.685353,-76.661152,LHR,VIR21,en-route
66,07/26/2025 19:22:27,N770YX,undefined,33.8,21,40.782039,-73.872005,LGA,RPA3688,en-route
67,07/26/2025 19:22:27,N814NN,undefined,183,7,40.654508,-73.800006,JFK,AAL9784,en-route
68,07/26/2025 19:22:27,N451A,9392,211.8,828,42.165332,-77.015914,SLK,JRT51,en-route
69,07/26/2025 19:22:27,N14107,71,110.7,14,38.947607,-77.456952,EDI,UAL979,en-route
70,07/26/2025 19:22:27,N269AF,undefined,90,0,38.96903,-77.453033,BHB,CNS5,en-route
71,07/26/2025 19:22:27,N609FR,undefined,0,0,38.948244,-77.451508,ATL,FFT4708,en-route
72,07/26/2025 19:22:27,N37521,undefined,90,30,38.947301,-77.448497,SAN,UAL1071,en-route
73,07/26/2025 19:22:27,N14188,undefined,53.4,0,42.946461,-78.71867,BUF,UCA4291,en-route
74,07/26/2025 19:22:27,N326FR,undefined,0,30,27.98551,-82.540364,TPA,FFT2954,en-route
75,07/26/2025 19:22:27,undefined,1046,1,470,38.91824,-77.351742,MEX,AMX455,en-route
76,07/26/2025 19:22:27,PH-AKD,277,181,285,39.0092,-77.45881,AMS,KLM651,en-route
77,07/26/2025 19:22:27,undefined,6420,127,831,39.494153,-78.872724,DTW,ASH6190,en-route
78,07/26/2025 19:22:27,G-VIIG,1015,180,492,39.17922,-77.432484,LHR,BAW217,en-route
79,07/26/2025 19:22:27,A7-BEX,7944,61,746,40.358489,-74.580596,DOH,QTR707,en-route
80,07/26/2025 19:22:27,undefined,3301,299,559,37.031949,-76.449061,ORF,UCA4334,en-route
81,07/26/2025 19:22:27,undefined,1808,194,274,40.123576,-77.068031,IPT,FDY332,en-route
82,07/26/2025 19:22:27,CS-TXL,6725,213,590,40.405735,-75.929352,LIS,TAP231,en-route
83,07/26/2025 19:22:27,undefined,7944,220,653,43.374432,-73.606277,BTV,UCA4865,en-route
84,07/26/2025 19:22:27,N14162,undefined,136,5,40.850571,-77.850625,SCE,UCA4938,en-route
